,CVE_DOC,FECHA_DOC,NOMBRE,NOMBRE.1,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
29,F37078,07/01/2022 00:00,ALFREDO CANELA,CLAVOS NACIONALES C.N,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,"$1,299.32",$305.44,$305.44,"$38,979.60","$9,163.18",$993.88,"$29,816.42"
31,F37086,10/01/2022 00:00,ALFREDO CANELA,CLAVOS NACIONALES C.N,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,"$1,299.32",$305.44,$305.44,"$38,979.60","$9,163.18",$993.88,"$29,816.42"
74,F37169,21/01/2022 00:00,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""","$1,475.30",$275.50,$275.50,"$44,259","$8,264.95","$1,199.80","$35,994.05"
199,F37435,22/02/2022 00:00,ALFREDO CANELA,POWERTRONICS,18,TUS00112,"TUB INOX 7/16""ØX80CM 960W 240V RECTA T/T",$690.81,$0,$52.74,"$12,434.58",$949.40,$638.07,"$11,485.18"
245,F37493,28/02/2022 00:00,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""","$1,475.30",$339.43,$339.43,"$44,259","$10,182.84","$1,135.87","$34,076.16"
299,F37603,10/03/2022 00:00,ALFREDO CANELA,ERIKA YUSSEL BLANCO CORTEZ,20,TEA00006,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",$355,$119.05,$119.05,"$7,100","$2,380.95",$235.95,"$4,719.05"
326,F37656,16/03/2022 00:00,ALFREDO CANELA,DONGA HWASUNG MEXICO,20,PT00047,"PT-100 3/16""Øx3 1/2"" LONG EXT3MTS,3HILOS",$647.10,$0,$244.02,"$12,942","$4,880.41",$403.08,"$8,061.59"
394,F37758,29/03/2022 00:00,ALFREDO CANELA,ALYEX ALUMINUM,18,TUE00319,"TUB INCOLOY 7/16""ØX305CM 2300W380V ESPEC","$4,150",$0,$714.20,"$74,700","$12,855.68","$3,435.80","$61,844.32"
403,F37777,31/03/2022 00:00,ALFREDO CANELA,CLAVOS NACIONALES C.N,60,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,"$1,299.32",$340.80,$340.80,"$77,959.20","$20,448.01",$958.52,"$57,511.19"
410,F37803,31/03/2022 00:00,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,25,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""","$1,475.30",$366.10,$366.10,"$36,882.50","$9,152.38","$1,109.20","$27,730.12"
444,F37854,07/04/2022 00:00,ALFREDO CANELA,BOHN DE MEXICO,25,E1041959,"TUB INOX 1/4""ØX62"" 950W 230V",$204.08,$0,$203.34,"$5,101.91","$5,083.38",$0.74,$18.53
472,F37912,13/04/2022 00:00,ALFREDO CANELA,BOHN DE MEXICO,25,E1041968,"TUB INOX 1/4""ØX27"" 300W 230V",$164.14,$0,$111.17,"$4,103.60","$2,779.23",$52.97,"$1,324.37"
499,F37967,25/04/2022 00:00,ALFREDO CANELA,BOHN DE MEXICO,20,E1041960,"TUB INOX 1/4""ØX90"" 1350W 230V",$243.82,$0,$210.95,"$4,876.39","$4,218.97",$32.87,$657.43
503,F37977,25/04/2022 00:00,ALFREDO CANELA,ALYEX ALUMINUM,18,TUE00319,"TUB INCOLOY 7/16""ØX305CM 2300W380V ESPEC","$4,150",$714.20,$714.20,"$74,700","$12,855.68","$3,435.80","$61,844.32"
533,F38047,29/04/2022 00:00,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,35,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""","$1,475.30",$335.51,$335.51,"$51,635.50","$11,742.95","$1,139.79","$39,892.55"
546,F38073,04/05/2022 00:00,ALFREDO CANELA,BOHN DE MEXICO,17,E1041960,"TUB INOX 1/4""ØX90"" 1350W 230V",$244.02,$210.95,$210.95,"$4,148.34","$3,586.12",$33.07,$562.22
565,F38114,09/05/2022 00:00,ALFREDO CANELA,ERIKA YUSSEL BLANCO CORTEZ,20,TEA00006,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",$355,$131.87,$131.87,"$7,100","$2,637.36",$223.13,"$4,462.64"
646,F38293,02/06/2022 00:00,ALFREDO CANELA,DEACERO,16,47980249,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L",$980,$0,$295.95,"$15,680","$4,735.23",$684.05,"$10,944.77"
654,F38312,03/06/2022 00:00,ALFREDO CANELA,NHK SPRING MEXICO,36,TUE00146,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,"$1,450",$266.04,$266.04,"$52,200","$9,577.26","$1,183.97","$42,622.74"
666,F38344,09/06/2022 00:00,ALFREDO CANELA,CLAVOS NACIONALES C.N,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,"$1,299.32",$378.12,$378.12,"$38,979.60","$11,343.64",$921.20,"$27,635.96"
689,F38393,16/06/2022 00:00,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""","$1,475.30",$355.29,$355.29,"$29,506","$7,105.79","$1,120.01","$22,400.21"
